Entity	Label1	Label2
http://purl.obolibrary.org/obo/LANG_1000279	Andoque	
http://purl.obolibrary.org/obo/LANG_1000280	Angika	Anga-Sprache
http://purl.obolibrary.org/obo/LANG_1000281	Jarawa (India)	
http://purl.obolibrary.org/obo/LANG_1000282	Andh	
http://purl.obolibrary.org/obo/LANG_1000283	Anserma	
http://purl.obolibrary.org/obo/LANG_1000284	Antakarinya	
http://purl.obolibrary.org/obo/LANG_1000285	Anuak	
http://purl.obolibrary.org/obo/LANG_1000286	Denya	
http://purl.obolibrary.org/obo/LANG_1000287	Anaang	
http://purl.obolibrary.org/obo/LANG_1000288	Andra-Hus	
http://purl.obolibrary.org/obo/LANG_1000289	Anyin	
http://purl.obolibrary.org/obo/LANG_1000290	Anem	
http://purl.obolibrary.org/obo/LANG_1000291	Angolar	
http://purl.obolibrary.org/obo/LANG_1000292	Abom	
http://purl.obolibrary.org/obo/LANG_1000293	Pemon	
http://purl.obolibrary.org/obo/LANG_1000294	Andarum	
http://purl.obolibrary.org/obo/LANG_1000295	Angal Enen	
http://purl.obolibrary.org/obo/LANG_1000296	Bragat	
http://purl.obolibrary.org/obo/LANG_1000297	Angoram	
http://purl.obolibrary.org/obo/LANG_1000298	Arma	
http://purl.obolibrary.org/obo/LANG_1000299	Anindilyakwa	
http://purl.obolibrary.org/obo/LANG_1000300	Mufian	
http://purl.obolibrary.org/obo/LANG_1000301	Arhö	
http://purl.obolibrary.org/obo/LANG_1000302	Alor	
http://purl.obolibrary.org/obo/LANG_1000303	Ömie	
http://purl.obolibrary.org/obo/LANG_1000304	Bumbita Arapesh	
http://purl.obolibrary.org/obo/LANG_1000305	Aore	
http://purl.obolibrary.org/obo/LANG_1000306	Taikat	
http://purl.obolibrary.org/obo/LANG_1000307	Atong (India)	
http://purl.obolibrary.org/obo/LANG_1000308	A'ou	
http://purl.obolibrary.org/obo/LANG_1000309	Atorada	
http://purl.obolibrary.org/obo/LANG_1000310	Uab Meto	
http://purl.obolibrary.org/obo/LANG_1000311	Sa'a	
http://purl.obolibrary.org/obo/LANG_1000312	North Levantine Arabic	
http://purl.obolibrary.org/obo/LANG_1000313	Sudanese Arabic	
http://purl.obolibrary.org/obo/LANG_1000314	Bukiyip	
http://purl.obolibrary.org/obo/LANG_1000315	Pahanan Agta	
http://purl.obolibrary.org/obo/LANG_1000316	Ampanang	
http://purl.obolibrary.org/obo/LANG_1000317	Athpariya	
http://purl.obolibrary.org/obo/LANG_1000318	Apiaká	
http://purl.obolibrary.org/obo/LANG_1000319	Jicarilla Apache	
http://purl.obolibrary.org/obo/LANG_1000320	Kiowa Apache	
http://purl.obolibrary.org/obo/LANG_1000321	Lipan Apache	
http://purl.obolibrary.org/obo/LANG_1000322	Mescalero-Chiricahua Apache	
http://purl.obolibrary.org/obo/LANG_1000323	Apinayé	
http://purl.obolibrary.org/obo/LANG_1000324	Ambul	
http://purl.obolibrary.org/obo/LANG_1000325	Apma	
http://purl.obolibrary.org/obo/LANG_1000326	A-Pucikwar	
http://purl.obolibrary.org/obo/LANG_1000327	Arop-Lokep	
http://purl.obolibrary.org/obo/LANG_1000328	Arop-Sissano	
http://purl.obolibrary.org/obo/LANG_1000329	Apatani	
http://purl.obolibrary.org/obo/LANG_1000330	Apurinã	
http://purl.obolibrary.org/obo/LANG_1000331	Alapmunte	
http://purl.obolibrary.org/obo/LANG_1000332	Western Apache	
http://purl.obolibrary.org/obo/LANG_1000333	Aputai	
http://purl.obolibrary.org/obo/LANG_1000334	Apalaí	
http://purl.obolibrary.org/obo/LANG_1000335	Safeyoka	
http://purl.obolibrary.org/obo/LANG_1000336	Archi	
http://purl.obolibrary.org/obo/LANG_1000337	Ampari Dogon	
http://purl.obolibrary.org/obo/LANG_1000338	Arigidi	
http://purl.obolibrary.org/obo/LANG_1000339	Atohwaim	
http://purl.obolibrary.org/obo/LANG_1000340	Northern Alta	
http://purl.obolibrary.org/obo/LANG_1000341	Atakapa	
http://purl.obolibrary.org/obo/LANG_1000342	Arhâ	
http://purl.obolibrary.org/obo/LANG_1000343	Angaité	
http://purl.obolibrary.org/obo/LANG_1000344	Akuntsu	
http://purl.obolibrary.org/obo/LANG_1000345	Arabic	Arabisch
http://purl.obolibrary.org/obo/LANG_1000346	Standard Arabic	
http://purl.obolibrary.org/obo/LANG_1000347	Official Aramaic (700-300 BCE)	Aramäisch
http://purl.obolibrary.org/obo/LANG_1000348	Arabana	
http://purl.obolibrary.org/obo/LANG_1000349	Western Arrarnta	
http://purl.obolibrary.org/obo/LANG_1000350	Aragonese	Aragonesisch
http://purl.obolibrary.org/obo/LANG_1000351	Arhuaco	
http://purl.obolibrary.org/obo/LANG_1000352	Arikara	
http://purl.obolibrary.org/obo/LANG_1000353	Arapaso	
http://purl.obolibrary.org/obo/LANG_1000354	Arikapú	
http://purl.obolibrary.org/obo/LANG_1000355	Arabela	
http://purl.obolibrary.org/obo/LANG_1000356	Mapudungun	Arauka-Sprachen
http://purl.obolibrary.org/obo/LANG_1000357	Araona	
http://purl.obolibrary.org/obo/LANG_1000358	Arapaho	Arapaho-Sprache
http://purl.obolibrary.org/obo/LANG_1000359	Algerian Arabic	
http://purl.obolibrary.org/obo/LANG_1000360	Karo (Brazil)	
http://purl.obolibrary.org/obo/LANG_1000361	Najdi Arabic	
http://purl.obolibrary.org/obo/LANG_1000362	Aruá (Amazonas State)	
http://purl.obolibrary.org/obo/LANG_1000363	Arbore	
http://purl.obolibrary.org/obo/LANG_1000364	Arawak	Arawak-Sprachen
http://purl.obolibrary.org/obo/LANG_1000365	Aruá (Rodonia State)	
http://purl.obolibrary.org/obo/LANG_1000366	Moroccan Arabic	
http://purl.obolibrary.org/obo/LANG_1000367	Egyptian Arabic	
http://purl.obolibrary.org/obo/LANG_1000368	Asu (Tanzania)	
http://purl.obolibrary.org/obo/LANG_1000369	Assiniboine	
http://purl.obolibrary.org/obo/LANG_1000370	Casuarina Coast Asmat	
http://purl.obolibrary.org/obo/LANG_1000371	American Sign Language	
http://purl.obolibrary.org/obo/LANG_1000372	Auslan	
http://purl.obolibrary.org/obo/LANG_1000373	Cishingini	
http://purl.obolibrary.org/obo/LANG_1000374	Abishira	
http://purl.obolibrary.org/obo/LANG_1000375	Buruwai	
http://purl.obolibrary.org/obo/LANG_1000376	Sari	
http://purl.obolibrary.org/obo/LANG_1000377	Ashkun	
http://purl.obolibrary.org/obo/LANG_1000378	Asilulu	
http://purl.obolibrary.org/obo/LANG_1000379	Assamese	Assamesisch
http://purl.obolibrary.org/obo/LANG_1000380	Xingú Asuriní	
http://purl.obolibrary.org/obo/LANG_1000381	Dano	
http://purl.obolibrary.org/obo/LANG_1000382	Algerian Sign Language	
http://purl.obolibrary.org/obo/LANG_1000383	Austrian Sign Language	
http://purl.obolibrary.org/obo/LANG_1000384	Asuri	
http://purl.obolibrary.org/obo/LANG_1000385	Ipulo	
http://purl.obolibrary.org/obo/LANG_1000386	Asturian	Asturisch
http://purl.obolibrary.org/obo/LANG_1000387	Tocantins Asurini	
http://purl.obolibrary.org/obo/LANG_1000388	Asoa	
http://purl.obolibrary.org/obo/LANG_1000389	Australian Aborigines Sign Language	
http://purl.obolibrary.org/obo/LANG_1000390	Muratayak	
http://purl.obolibrary.org/obo/LANG_1000391	Yaosakor Asmat	
http://purl.obolibrary.org/obo/LANG_1000392	As	
http://purl.obolibrary.org/obo/LANG_1000393	Pele-Ata	
http://purl.obolibrary.org/obo/LANG_1000394	Zaiwa	
http://purl.obolibrary.org/obo/LANG_1000395	Atsahuaca	
http://purl.obolibrary.org/obo/LANG_1000396	Ata Manobo	
http://purl.obolibrary.org/obo/LANG_1000397	Atemble	
http://purl.obolibrary.org/obo/LANG_1000398	Ivbie North-Okpela-Arhe	
